Date,Product,Category,Region,Units_Sold,Unit_Price,Customer_Rating,Discount,Revenue
2026-01-01,Monitor,Accessories,West,16,509.54,2.9,0.27,5951.43
2026-01-02,Headphones,Computers,East,16,295.76,2.7,0.03,4590.2
2026-01-03,Tablet,Mobile,East,3,857.36,4.1,0.15,2186.27
2026-01-04,Headphones,Computers,South,20,1407.42,2.6,0.0,75000.0
2026-01-05,Headphones,Accessories,East,24,1059.24,4.0,0.14,21862.71
2026-01-06,Phone,Accessories,North,22,876.59,,0.02,18899.28
2026-01-07,Tablet,Mobile,West,24,190.91,3.9,0.04,4398.57
2026-01-08,Tablet,Computers,South,1,941.76,3.5,0.04,904.09
2026-01-09,Tablet,Accessories,West,24,1485.58,4.1,0.19,28879.68
2026-01-10,Headphones,Mobile,West,20,253.12,3.6,0.22,3948.67
2026-01-11,Monitor,Accessories,North,11,801.58,3.9,0.18,7230.25
2026-01-12,Tablet,Accessories,East,17,1322.19,4.9,0.29,15958.83
2026-01-13,Headphones,Computers,East,8,,3.5,0.11,
2026-01-14,Phone,Accessories,West,4,1060.67,4.9,0.09,3860.84
2026-01-15,Monitor,Computers,South,6,1068.6,4.8,0.26,4744.58
2026-01-16,Phone,Accessories,East,8,571.26,3.0,0.07,4250.17
2026-01-17,Monitor,Mobile,South,20,475.71,2.7,0.29,6755.08
2026-01-18,Headphones,Accessories,East,3,1223.57,2.8,0.0,3670.71
2026-01-19,Laptop,Computers,South,16,1224.66,,0.29,13912.14
2026-01-20,Monitor,Computers,North,25,1307.25,2.7,0.01,32354.44
2026-01-21,Phone,Mobile,South,3,1374.2,4.2,0.27,3009.5
2026-01-22,Headphones,Accessories,North,25,791.45,2.7,0.16,16620.45
2026-01-23,Monitor,Accessories,North,29,777.2,3.3,0.3,15777.16
2026-01-24,Laptop,Mobile,South,18,1207.53,4.6,0.02,21300.83
2026-01-25,Laptop,Accessories,North,14,992.45,2.6,0.17,11532.27
2026-01-26,Tablet,Accessories,West,18,1067.85,4.5,0.29,90000.0
2026-01-27,Tablet,Computers,North,2,1203.9,3.2,0.16,2022.55
2026-01-28,Phone,Accessories,East,22,1340.51,2.8,0.19,23887.89
