Date,Product,Category,Region,Units_Sold,Unit_Price,Customer_Rating,Discount,Revenue,Revenue_Scaled,Revenue_Category
2026-01-01,Monitor,Accessories,West,16,509.54,2.9,0.27,5951.43,0.17413691382884658,Medium
2026-01-02,Headphones,Computers,East,16,295.76,2.7,0.03,4590.2,0.13367860247731847,Medium
2026-01-03,Tablet,Mobile,East,3,857.36,4.1,0.15,2186.27,0.06222928942421292,Low
2026-01-05,Headphones,Accessories,East,24,1059.24,4.0,0.14,21862.71,0.647050029350354,High
2026-01-06,Phone,Accessories,North,22,876.59,3.9,0.02,18899.28,0.5589713258186519,High
2026-01-07,Tablet,Mobile,West,24,190.91,3.9,0.04,4398.57,0.12798299908605226,Medium
2026-01-08,Tablet,Computers,South,1,941.76,3.5,0.04,904.09,0.02412049249151069,Low
2026-01-09,Tablet,Accessories,West,24,1485.58,4.1,0.19,28879.68,0.8556075523290807,High
2026-01-10,Headphones,Mobile,West,20,253.12,3.6,0.22,3948.67,0.11461112638485373,Medium
2026-01-11,Monitor,Accessories,North,11,801.58,3.9,0.18,7230.25,0.21214584525304464,Medium
2026-01-12,Tablet,Accessories,East,17,1322.19,4.9,0.29,15958.83,0.47157563103261235,High
2026-01-13,Headphones,Computers,East,8,764.2309183673469,3.5,0.11,5441.32,0.15897548688150628,Medium
2026-01-14,Phone,Accessories,West,4,1060.67,4.9,0.09,3860.84,0.11200065388130569,Medium
2026-01-15,Monitor,Computers,South,6,1068.6,4.8,0.26,4744.58,0.13826706593055482,Medium
2026-01-16,Phone,Accessories,East,8,571.26,3.0,0.07,4250.17,0.12357227246045133,Medium
2026-01-17,Monitor,Mobile,South,20,475.71,2.7,0.29,6755.08,0.19802290070663764,Medium
2026-01-18,Headphones,Accessories,East,3,1223.57,2.8,0.0,3670.71,0.10634963330633596,Medium
2026-01-19,Laptop,Computers,South,16,1224.66,3.9,0.29,13912.14,0.4107441615086825,High
2026-01-20,Monitor,Computers,North,25,1307.25,2.7,0.01,32354.44,0.9588839434987108,High
2026-01-21,Phone,Mobile,South,3,1374.2,4.2,0.27,3009.5,0.08669723066406104,Low
2026-01-22,Headphones,Accessories,North,25,791.45,2.7,0.16,16620.45,0.491240219644675,High
2026-01-23,Monitor,Accessories,North,29,777.2,3.3,0.3,15777.16,0.46617605754155494,High
2026-01-24,Laptop,Mobile,South,18,1207.53,4.6,0.02,21300.83,0.6303499008032338,High
2026-01-25,Laptop,Accessories,North,14,992.45,2.6,0.17,11532.27,0.34000995682897295,High
2026-01-27,Tablet,Computers,North,2,1203.9,3.2,0.16,2022.55,0.057363223634837014,Low
2026-01-28,Phone,Accessories,East,22,1340.51,2.8,0.19,23887.89,0.707242181288592,High
2026-01-29,Monitor,Accessories,South,3,540.09,4.2,0.21,1280.01,0.03529354069296558,Low
2026-01-30,Monitor,Mobile,West,16,594.6,4.1,0.14,8181.7,0.24042472562991804,Medium
2026-01-31,Tablet,Mobile,South,29,186.27,4.7,0.19,4375.48,0.12729672093386138,Medium
2026-02-01,Monitor,Computers,East,9,888.51,4.3,0.18,6557.2,0.19214153558080263,Medium
2026-02-02,Monitor,Accessories,East,4,102.12,4.5,0.27,298.19,0.006112006895475587,Low
2026-02-03,Laptop,Accessories,East,1,725.12,3.2,0.01,717.87,0.018585684457687195,Low
2026-02-04,Tablet,Accessories,North,4,836.83,2.9,0.08,3079.53,0.08877865374755724,Low
2026-02-05,Headphones,Computers,North,1,764.2309183673469,4.4,0.29,542.6,0.013376330982828186,Low
2026-02-06,Tablet,Computers,South,14,906.71,4.5,0.27,9266.58,0.2726693961257533,Medium
2026-02-07,Headphones,Mobile,South,21,94.23,5.0,0.14,1701.79,0.047829634197992285,Low
2026-02-08,Laptop,Computers,West,16,104.15,3.5,0.19,1349.78,0.037367236088303696,Low
2026-02-09,Phone,Accessories,West,20,1242.77,3.4,0.08,22866.97,0.6768985220796399,High
2026-02-10,Monitor,Accessories,South,24,572.28,4.4,0.06,12910.64,0.38097770116138235,High
2026-02-11,Laptop,Computers,North,8,234.24,3.4,0.14,1611.57,0.04514812640714514,Low
2026-02-12,Monitor,Accessories,East,7,807.25,3.9,0.11,5029.17,0.14672561505710316,Medium
2026-02-13,Phone,Accessories,South,3,1166.49,4.6,0.18,2869.57,0.08253824834114772,Low
2026-02-14,Phone,Computers,West,17,362.94,3.6,0.02,6046.58,0.17696495047592156,Medium
2026-02-15,Laptop,Computers,North,1,953.19,4.4,0.29,676.76,0.017363818072387634,Low
2026-02-16,Phone,Accessories,South,16,173.75,4.4,0.3,1946.0,0.05508801390983869,Low
2026-02-17,Headphones,Accessories,South,12,124.94,2.8,0.21,1184.43,0.03245272363855225,Low
2026-02-18,Phone,Accessories,North,27,820.46,4.8,0.16,18608.03,0.5503148289877472,High
2026-02-19,Monitor,Mobile,South,19,833.92,3.8,0.09,14418.48,0.42579353697773087,High
2026-02-20,Monitor,Mobile,North,22,974.27,4.6,0.24,16289.79,0.48141238362027333,High
2026-02-21,Monitor,Mobile,East,23,1102.83,3.3,0.21,20038.42,0.5928287053893194,High
2026-02-22,Monitor,Computers,North,22,1464.99,4.7,0.05,30618.29,0.9072823058232589,High
2026-02-23,Headphones,Mobile,North,14,798.64,3.5,0.27,8162.1,0.23984217683031037,Medium
2026-02-24,Tablet,Computers,North,6,518.29,2.5,0.25,2332.3,0.06656957520006539,Low
2026-02-25,Laptop,Computers,South,6,1203.02,4.8,0.28,5197.05,0.15171532385700806,Medium
2026-02-26,Monitor,Mobile,South,13,442.71,2.7,0.22,4489.08,0.13067312622138338,Medium
2026-02-27,Phone,Mobile,North,19,686.51,3.3,0.18,10695.83,0.3151493895869402,Medium
2026-02-28,Monitor,Mobile,South,22,163.76,4.9,0.13,3134.37,0.09040860151135746,Low
2026-03-01,Phone,Accessories,West,8,86.76,4.9,0.28,499.74,0.01210245131184937,Low
2026-03-03,Monitor,Accessories,South,27,1262.17,4.1,0.01,33737.8,1.0,High
2026-03-04,Headphones,Computers,South,2,1059.16,3.6,0.01,2097.14,0.05958017847987457,Low
2026-03-05,Phone,Accessories,North,21,642.98,3.2,0.11,12017.3,0.3544259590878356,High
2026-03-06,Phone,Mobile,East,1,301.28,3.3,0.24,228.97,0.004054658532779516,Low
2026-03-07,Monitor,Computers,South,28,276.83,4.2,0.3,5425.87,0.1585162838736523,Medium
2026-03-08,Phone,Computers,West,15,412.85,4.4,0.05,5883.11,0.1721063151559284,Medium
2026-03-09,Phone,Computers,North,1,846.38,4.5,0.18,694.03,0.017877114897348067,Low
2026-03-10,Monitor,Accessories,South,5,1086.16,4.5,0.11,4833.41,0.14090726031163386,Medium
2026-03-11,Monitor,Mobile,West,28,1007.29,2.7,0.29,20024.93,0.5924277572614263,High
2026-03-12,Laptop,Computers,West,29,455.9,3.7,0.25,9915.82,0.29196602789398207,Medium
2026-03-13,Headphones,Computers,East,16,1434.55,2.6,0.25,17214.6,0.5088994731797207,High
2026-03-14,Headphones,Computers,North,19,1119.95,3.9,0.14,18299.98,0.5411590046143215,High
2026-03-15,Phone,Accessories,North,4,853.81,3.6,0.12,3005.41,0.08657566818495924,Low
2026-03-16,Headphones,Accessories,East,3,937.0,4.7,0.08,2586.12,0.07411358215498472,Low
2026-03-17,Phone,Mobile,East,17,658.42,3.4,0.02,10969.28,0.3232768369977932,High
2026-03-18,Laptop,Accessories,North,17,409.21,2.8,0.26,5147.86,0.15025330470125797,Medium
2026-03-19,Monitor,Computers,North,12,566.16,3.9,0.24,5163.38,0.15071458824053915,Medium
2026-03-20,Monitor,Mobile,South,28,1148.88,4.4,0.3,22518.05,0.666527964571522,High
2026-03-21,Monitor,Computers,South,29,70.87,4.0,0.3,1438.66,0.040008916563259306,Low
2026-03-22,Headphones,Computers,East,14,218.31,2.8,0.17,2536.76,0.0726465102800544,Low
2026-03-23,Laptop,Accessories,South,21,116.7,2.7,0.23,1887.04,0.05333561201061071,Low
2026-03-24,Headphones,Mobile,West,6,109.06,4.3,0.28,471.14,0.011252405614462665,Low
2026-03-25,Headphones,Accessories,South,3,1290.42,2.7,0.25,2903.44,0.0835449283331228,Low
2026-03-26,Laptop,Accessories,South,28,1070.3,4.6,0.07,27870.61,0.8256160973688709,High
2026-03-27,Laptop,Mobile,West,9,737.55,4.3,0.14,5708.64,0.1669207391830942,Medium
2026-03-28,Laptop,Computers,East,5,191.86,2.7,0.04,920.93,0.02462100890913279,Low
2026-03-29,Laptop,Computers,West,24,762.84,2.7,0.29,12998.79,0.3835976846657404,High
2026-03-30,Monitor,Mobile,South,29,736.53,5.0,0.18,17514.68,0.5178184141892244,High
2026-03-31,Tablet,Computers,East,17,301.14,3.4,0.07,4761.02,0.13875569359716455,Medium
2026-04-01,Tablet,Mobile,South,14,679.08,3.4,0.2,7605.7,0.22330492417205994,Medium
2026-04-02,Laptop,Mobile,West,21,627.83,4.5,0.19,10679.39,0.3146607619203305,Medium
2026-04-03,Tablet,Accessories,West,3,942.98,4.9,0.11,2517.76,0.07208179460696533,Low
2026-04-04,Tablet,Mobile,South,28,970.89,5.0,0.03,26369.37,0.7809964259442269,High
2026-04-05,Laptop,Accessories,North,1,115.69,4.4,0.2,92.55,0.0,Low
2026-04-06,Tablet,Computers,North,20,593.19,3.4,0.16,9965.59,0.29344528573870016,Medium
2026-04-07,Headphones,Computers,West,29,957.5,2.7,0.23,21380.98,0.6327321092873437,High
2026-04-08,Phone,Computers,West,21,779.55,4.4,0.16,13751.26,0.4059625058514947,High
2026-04-09,Phone,Computers,North,23,1291.91,3.9,0.26,21988.31,0.6507830971682482,High
2026-04-10,Laptop,Accessories,North,1,1005.11,3.6,0.17,834.24,0.022044419345970085,Low
